,기타 면오염원,도로이동오염원,비도로이동오염원,비산먼지,비산업 연소,생물성 연소,생산공정,에너지산업 연소,제조업 연소,폐기물처리
기타 면오염원,1.0,0.024154645746293252,0.062403191479929315,0.09041213599253561,0.09837860228083972,0.32841847249540257,0.12344689898794829,-0.03589196658468144,0.018392687914590464,-0.019212772186186573
도로이동오염원,0.024154645746293252,1.0,0.6698175317072302,0.5883108643143325,0.7454294923227236,0.5715884039493152,0.08979910768925889,0.3027785096531996,0.19856017928573724,0.24042990827718866
비도로이동오염원,0.062403191479929315,0.6698175317072302,1.0,0.589499939699364,0.694556804944997,0.3862948257744513,0.31484659561278905,0.3029017937747121,0.07233510604413873,0.2567034856518173
비산먼지,0.09041213599253561,0.5883108643143325,0.589499939699364,1.0,0.7194085572027529,0.47977247072129237,0.14983566259328862,0.2507060262476152,0.17989881355209233,0.1951626481766059
비산업 연소,0.09837860228083972,0.7454294923227236,0.694556804944997,0.7194085572027529,1.0,0.5570369671942094,0.21279501889026337,0.1421700251116702,0.247907344868385,0.16605302341713776
생물성 연소,0.32841847249540257,0.5715884039493152,0.3862948257744513,0.47977247072129237,0.5570369671942094,1.0,0.48689591531463244,0.22039873903406315,0.34771114851248724,0.07917268131187842
생산공정,0.12344689898794829,0.08979910768925889,0.31484659561278905,0.14983566259328862,0.21279501889026337,0.48689591531463244,1.0,0.3014098441533673,0.33159554718368844,0.20180868617363104
에너지산업 연소,-0.03589196658468144,0.3027785096531996,0.3029017937747121,0.2507060262476152,0.1421700251116702,0.22039873903406315,0.3014098441533673,1.0,0.16399899448199556,0.04777045182221825
제조업 연소,0.018392687914590464,0.19856017928573724,0.07233510604413873,0.17989881355209233,0.247907344868385,0.34771114851248724,0.33159554718368844,0.16399899448199556,1.0,0.011679717992692516
폐기물처리,-0.019212772186186573,0.24042990827718866,0.2567034856518173,0.1951626481766059,0.16605302341713776,0.07917268131187842,0.20180868617363104,0.04777045182221825,0.011679717992692516,1.0
