시도,기타 면오염원,도로이동오염원,비도로이동오염원,비산먼지,비산업 연소,생물성 연소,생산공정,에너지산업 연소,제조업 연소,폐기물처리,총합
강원,78368,379479,571799,827757,63574,1253043,86004,236820,483738,2425,3983007
경기,54432,2105410,2089272,3539263,157905,1586697,34125,427036,326870,32085,10353095
경남,19905,752271,866006,1294072,58800,969548,45028,577785,100707,12290,4696412
경북,25163,912165,1048593,1712998,92850,2508043,1287895,24698,1122546,10265,8745216
광주,4770,123618,100820,229837,17399,59737,11,2722,2368,1374,542656
대구,7965,287445,205461,419151,33311,89575,104,31968,209911,7089,1291980
대전,6026,172645,148126,234771,20760,68363,85,2504,1352,4614,659246
바다,0,0,3122543,0,0,0,0,0,0,0,3122543
부산,20033,266592,1397139,691051,44286,63594,8928,67584,69306,3602,2632115
서울,35001,528750,1705873,1622914,138264,91663,0,7222,844,6656,4137187
세종,1402,51404,100519,112699,2251,56813,2,23916,1952,2811,353769
울산,5348,154430,530980,216783,22139,80132,667992,105005,283345,51569,2117723
인천,9010,346538,773669,908836,32359,104444,156517,307618,14501,4896,2658388
전남,15080,440894,1553640,1319381,81189,1031248,1780194,221640,130404,13374,6587044
전북,11657,448124,490341,1107080,45324,976446,43855,49468,24762,19637,3216694
제주,3491,134955,596112,365027,12868,132545,9,18976,76,2675,1266734
충남,14612,638848,956413,1339618,53263,1001270,1008188,1207513,1191408,8141,7419274
충북,7872,532984,363515,913580,46400,1171258,61103,2113,454351,15441,3568617
