pm_type,feature,ridge_coef,alpha
pm10,기타 면오염원,-2.331577590854271e-06,1000.0
pm10,도로이동오염원,1.2932824708275106e-05,1000.0
pm10,비도로이동오염원,-4.475497160721593e-06,1000.0
pm10,비산먼지,-2.5382035659141704e-07,1000.0
pm10,비산업 연소,2.8474102488789572e-05,1000.0
pm10,생물성 연소,-2.2803986077699846e-06,1000.0
pm10,생산공정,-4.787778069461291e-07,1000.0
pm10,에너지산업 연소,2.2568912402603287e-06,1000.0
pm10,제조업 연소,1.0177864252005156e-07,1000.0
pm10,폐기물처리,1.3139168646729628e-06,1000.0
pm2.5,기타 면오염원,-1.764665650669814e-06,1000.0
pm2.5,도로이동오염원,8.271980127892854e-06,1000.0
pm2.5,비도로이동오염원,-2.6436417321432673e-06,1000.0
pm2.5,비산먼지,-1.4512282941182148e-06,1000.0
pm2.5,비산업 연소,1.611706518404007e-05,1000.0
pm2.5,생물성 연소,-8.145351594282759e-07,1000.0
pm2.5,생산공정,-4.6398582779169154e-07,1000.0
pm2.5,에너지산업 연소,1.0372615097890197e-06,1000.0
pm2.5,제조업 연소,4.3470881851085474e-07,1000.0
pm2.5,폐기물처리,7.853276577334951e-07,1000.0
